,FACILITY_NAME,FAC_FDR,DISTRICT_OFFICE,PENALTY_ISSUE_DATE,PENALTY_NUMBER,DISPOSITION,PENALTY_DETAIL,PENALTY_CATEGORY,APPEALED,CLASS_ASSESSED_INITIAL,CLASS_ASSESSED_FINAL,TOTAL_AMOUNT_INITIAL,TOTAL_AMOUNT_DUE_FINAL
10,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS,GENERAL ACUTE CARE HOSPITAL,East Bay,2008-03-25,20004813,Closed,Failure to Report Adverse Events to CDPH (HSC 1280.4),AE17 - Stage 3 or 4 ulcer acquired after admission,No,FTR AE,,900.0,900.0
11,KAISER FOUNDATION HOSPITAL - OAKLAND/RICHMOND,GENERAL ACUTE CARE HOSPITAL,East Bay,2008-03-27,20004830,Closed,Failure to Report Adverse Events to CDPH (HSC 1280.4),AE17 - Stage 3 or 4 ulcer acquired after admission,No,FTR AE,,900.0,900.0
12,KAISER FOUNDATION HOSPITAL - OAKLAND/RICHMOND,GENERAL ACUTE CARE HOSPITAL,East Bay,2008-03-27,20004831,Closed,Failure to Report Adverse Events to CDPH (HSC 1280.4),AE17 - Stage 3 or 4 ulcer acquired after admission,No,FTR AE,,200.0,200.0
13,KAISER FOUNDATION HOSPITAL - OAKLAND/RICHMOND,GENERAL ACUTE CARE HOSPITAL,East Bay,2008-03-28,20004840,Closed,Failure to Report Adverse Events to CDPH (HSC 1280.4),AE04 - Retention of a foreign object in a patient,No,FTR AE,,300.0,300.0
14,KAISER FOUNDATION HOSPITAL - FREMONT,GENERAL ACUTE CARE HOSPITAL,East Bay,2008-04-09,20004869,Closed,Failure to Report Adverse Events to CDPH (HSC 1280.4),AE17 - Stage 3 or 4 ulcer acquired after admission,No,FTR AE,,300.0,300.0
15,KAISER FOUNDATION HOSPITAL - FREMONT,GENERAL ACUTE CARE HOSPITAL,East Bay,2008-04-09,20004870,Closed,Failure to Report Adverse Events to CDPH (HSC 1280.4),AE17 - Stage 3 or 4 ulcer acquired after admission,No,FTR AE,,700.0,700.0
16,KAISER FOUNDATION HOSPITAL - FREMONT,GENERAL ACUTE CARE HOSPITAL,East Bay,2008-04-10,20004871,Closed,Failure to Report Adverse Events to CDPH (HSC 1280.4),AE17 - Stage 3 or 4 ulcer acquired after admission,No,FTR AE,,700.0,700.0
17,KAISER FOUNDATION HOSPITAL - OAKLAND/RICHMOND,GENERAL ACUTE CARE HOSPITAL,East Bay,2008-04-10,20004873,Closed,Failure to Report Adverse Events to CDPH (HSC 1280.4),AE17 - Stage 3 or 4 ulcer acquired after admission,No,FTR AE,,3200.0,3200.0
18,KAISER FOUNDATION HOSPITAL - OAKLAND/RICHMOND,GENERAL ACUTE CARE HOSPITAL,East Bay,2008-04-10,20004874,Closed,Failure to Report Adverse Events to CDPH (HSC 1280.4),AE17 - Stage 3 or 4 ulcer acquired after admission,No,FTR AE,,2200.0,2200.0
19,KAISER FOUNDATION HOSPITAL - OAKLAND/RICHMOND,GENERAL ACUTE CARE HOSPITAL,East Bay,2008-04-14,20004876,Closed,Failure to Report Adverse Events to CDPH (HSC 1280.4),AE17 - Stage 3 or 4 ulcer acquired after admission,No,FTR AE,,3200.0,3200.0
20,KAISER FOUNDATION HOSPITAL - OAKLAND/RICHMOND,GENERAL ACUTE CARE HOSPITAL,East Bay,2008-04-14,20004878,Closed,Failure to Report Adverse Events to CDPH (HSC 1280.4),AE17 - Stage 3 or 4 ulcer acquired after admission,No,FTR AE,,400.0,400.0
21,KAISER FOUNDATION HOSPITAL - OAKLAND/RICHMOND,GENERAL ACUTE CARE HOSPITAL,East Bay,2008-04-14,20004880,Closed,Failure to Report Adverse Events to CDPH (HSC 1280.4),AE17 - Stage 3 or 4 ulcer acquired after admission,No,FTR AE,,1100.0,1100.0
22,KAISER FOUNDATION HOSPITAL - OAKLAND/RICHMOND,GENERAL ACUTE CARE HOSPITAL,East Bay,2008-04-14,20004881,Closed,Failure to Report Adverse Events to CDPH (HSC 1280.4),AE17 - Stage 3 or 4 ulcer acquired after admission,No,FTR AE,,300.0,300.0
23,KAISER FOUNDATION HOSPITAL - OAKLAND/RICHMOND,GENERAL ACUTE CARE HOSPITAL,East Bay,2008-04-14,20004884,Closed,Failure to Report Adverse Events to CDPH (HSC 1280.4),AE17 - Stage 3 or 4 ulcer acquired after admission,No,FTR AE,,700.0,700.0
24,KAISER FOUNDATION HOSPITAL - OAKLAND/RICHMOND,GENERAL ACUTE CARE HOSPITAL,East Bay,2008-04-14,20004903,Closed,Failure to Report Adverse Events to CDPH (HSC 1280.4),AE17 - Stage 3 or 4 ulcer acquired after admission,No,FTR AE,,2000.0,2000.0
25,KAISER FOUNDATION HOSPITAL - FREMONT,GENERAL ACUTE CARE HOSPITAL,East Bay,2008-04-17,20004929,Closed,Failure to Report Adverse Events to CDPH (HSC 1280.4),AE17 - Stage 3 or 4 ulcer acquired after admission,No,FTR AE,,1500.0,1500.0
26,KAISER FOUNDATION HOSPITAL - FREMONT,GENERAL ACUTE CARE HOSPITAL,East Bay,2008-04-16,20004930,Closed,Failure to Report Adverse Events to CDPH (HSC 1280.4),AE17 - Stage 3 or 4 ulcer acquired after admission,No,FTR AE,,2900.0,2900.0
27,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS,GENERAL ACUTE CARE HOSPITAL,East Bay,2008-04-16,20004931,Closed,Failure to Report Adverse Events to CDPH (HSC 1280.4),AE17 - Stage 3 or 4 ulcer acquired after admission,No,FTR AE,,1000.0,1000.0
28,ST ROSE HOSPITAL,GENERAL ACUTE CARE HOSPITAL,East Bay,2008-04-17,20004940,Closed,Failure to Report Adverse Events to CDPH (HSC 1280.4),AE17 - Stage 3 or 4 ulcer acquired after admission,No,FTR AE,,14600.0,14600.0
29,JOHN MUIR MEDICAL CENTER-WALNUT CREEK CAMPUS,GENERAL ACUTE CARE HOSPITAL,East Bay,2008-06-20,20005148,Closed,Failure to Report Adverse Events to CDPH (HSC 1280.4),AE04 - Retention of a foreign object in a patient,No,FTR AE,,800.0,800.0
30,JOHN MUIR MEDICAL CENTER-WALNUT CREEK CAMPUS,GENERAL ACUTE CARE HOSPITAL,East Bay,2008-07-01,20005183,Closed,Failure to Report Adverse Events to CDPH (HSC 1280.4),AE28 - Adverse event or series of adverse events,No,FTR AE,,1400.0,1400.0
31,JOHN MUIR MEDICAL CENTER-WALNUT CREEK CAMPUS,GENERAL ACUTE CARE HOSPITAL,East Bay,2008-07-03,20005188,Closed,Failure to Report Adverse Events to CDPH (HSC 1280.4),AE17 - Stage 3 or 4 ulcer acquired after admission,No,FTR AE,,700.0,700.0
32,KINDRED HOSPITAL - SAN FRANCISCO BAY AREA,GENERAL ACUTE CARE HOSPITAL,East Bay,2008-08-11,20005274,Closed,Failure to Report Adverse Events to CDPH (HSC 1280.4),AE17 - Stage 3 or 4 ulcer acquired after admission,No,FTR AE,,800.0,800.0
33,KINDRED HOSPITAL - SAN FRANCISCO BAY AREA,GENERAL ACUTE CARE HOSPITAL,East Bay,2008-08-11,20005276,Closed,Failure to Report Adverse Events to CDPH (HSC 1280.4),AE17 - Stage 3 or 4 ulcer acquired after admission,No,FTR AE,,1000.0,1000.0
34,HIGHLAND HOSPITAL,GENERAL ACUTE CARE HOSPITAL,East Bay,2008-08-11,20005286,Closed,Failure to Report Adverse Events to CDPH (HSC 1280.4),AE17 - Stage 3 or 4 ulcer acquired after admission,No,FTR AE,,7300.0,7300.0
35,HIGHLAND HOSPITAL,GENERAL ACUTE CARE HOSPITAL,East Bay,2008-08-11,20005289,Closed,Failure to Report Adverse Events to CDPH (HSC 1280.4),AE17 - Stage 3 or 4 ulcer acquired after admission,No,FTR AE,,200.0,200.0
36,HIGHLAND HOSPITAL,GENERAL ACUTE CARE HOSPITAL,East Bay,2008-08-11,20005290,Closed,Failure to Report Adverse Events to CDPH (HSC 1280.4),AE17 - Stage 3 or 4 ulcer acquired after admission,No,FTR AE,,200.0,200.0
37,ALTA BATES SUMMIT MEDICAL CENTER,GENERAL ACUTE CARE HOSPITAL,East Bay,2008-08-12,20005313,Closed,Failure to Report Adverse Events to CDPH (HSC 1280.4),AE17 - Stage 3 or 4 ulcer acquired after admission,No,FTR AE,,700.0,700.0
38,KAISER FOUNDATION HOSPITAL - OAKLAND/RICHMOND,GENERAL ACUTE CARE HOSPITAL,East Bay,2008-08-12,20005314,Closed,Failure to Report Adverse Events to CDPH (HSC 1280.4),AE17 - Stage 3 or 4 ulcer acquired after admission,No,FTR AE,,6800.0,6800.0
39,ALTA BATES SUMMIT MEDICAL CENTER,GENERAL ACUTE CARE HOSPITAL,East Bay,2008-08-26,20005328,Closed,Failure to Report Adverse Events to CDPH (HSC 1280.4),AE12 - Medication error,No,FTR AE,,13200.0,13200.0
40,SUTTER DELTA MEDICAL CENTER,GENERAL ACUTE CARE HOSPITAL,East Bay,2008-08-15,20005330,Closed,Failure to Report Adverse Events to CDPH (HSC 1280.4),AE04 - Retention of a foreign object in a patient,Yes,FTR AE,FTR AE,11700.0,10530.0
41,CONTRA COSTA REGIONAL MEDICAL CENTER,GENERAL ACUTE CARE HOSPITAL,East Bay,2008-08-27,20005335,Closed,Failure to Report Adverse Events to CDPH (HSC 1280.4),AE04 - Retention of a foreign object in a patient,No,FTR AE,,6100.0,6100.0
42,JOHN MUIR MEDICAL CENTER-CONCORD CAMPUS,GENERAL ACUTE CARE HOSPITAL,East Bay,2008-08-27,20005338,Closed,Failure to Report Adverse Events to CDPH (HSC 1280.4),AE17 - Stage 3 or 4 ulcer acquired after admission,No,FTR AE,,400.0,400.0
43,SANTA ROSA MEMORIAL HOSPITAL,GENERAL ACUTE CARE HOSPITAL,Santa Rosa,2008-09-17,20005413,Closed,Failure to Report Adverse Events to CDPH (HSC 1280.4),AE17 - Stage 3 or 4 ulcer acquired after admission,No,FTR AE,,3000.0,3000.0
44,JOHN MUIR MEDICAL CENTER-CONCORD CAMPUS,GENERAL ACUTE CARE HOSPITAL,East Bay,2008-10-21,20005525,Closed,Failure to Report Adverse Events to CDPH (HSC 1280.4),AE17 - Stage 3 or 4 ulcer acquired after admission,No,FTR AE,,300.0,300.0
45,KINDRED HOSPITAL - SAN FRANCISCO BAY AREA,GENERAL ACUTE CARE HOSPITAL,East Bay,2008-11-04,20005569,Closed,Failure to Report Adverse Events to CDPH (HSC 1280.4),AE17 - Stage 3 or 4 ulcer acquired after admission,No,FTR AE,,1300.0,1300.0
46,HIGHLAND HOSPITAL,GENERAL ACUTE CARE HOSPITAL,East Bay,2008-12-01,20005637,Closed,Failure to Report Adverse Events to CDPH (HSC 1280.4),AE17 - Stage 3 or 4 ulcer acquired after admission,No,FTR AE,,1100.0,1100.0
47,KINDRED HOSPITAL - SAN FRANCISCO BAY AREA,GENERAL ACUTE CARE HOSPITAL,East Bay,2008-12-04,20005660,Closed,Failure to Report Adverse Events to CDPH (HSC 1280.4),AE17 - Stage 3 or 4 ulcer acquired after admission,No,FTR AE,,100.0,100.0
48,KINDRED HOSPITAL - SAN FRANCISCO BAY AREA,GENERAL ACUTE CARE HOSPITAL,East Bay,2008-12-04,20005661,Closed,Failure to Report Adverse Events to CDPH (HSC 1280.4),AE17 - Stage 3 or 4 ulcer acquired after admission,No,FTR AE,,2900.0,2900.0
49,JOHN MUIR MEDICAL CENTER-CONCORD CAMPUS,GENERAL ACUTE CARE HOSPITAL,East Bay,2008-12-08,20005673,Closed,AP - Immediate Jeopardy (HSC 1280.3),AE28 - Adverse event or series of adverse events,No,AP IJ,,25000.0,25000.0
50,KINDRED HOSPITAL - SAN FRANCISCO BAY AREA,GENERAL ACUTE CARE HOSPITAL,East Bay,2009-02-09,20005855,Closed,Failure to Report Adverse Events to CDPH (HSC 1280.4),AE17 - Stage 3 or 4 ulcer acquired after admission,No,FTR AE,,700.0,700.0
51,HIGHLAND HOSPITAL,GENERAL ACUTE CARE HOSPITAL,East Bay,2009-02-17,20005880,Closed,Failure to Report Adverse Events to CDPH (HSC 1280.4),AE17 - Stage 3 or 4 ulcer acquired after admission,No,FTR AE,,200.0,200.0
52,SAN RAMON REGIONAL MEDICAL CENTER,GENERAL ACUTE CARE HOSPITAL,East Bay,2009-03-12,20005945,Closed,Failure to Report Adverse Events to CDPH (HSC 1280.4),AE17 - Stage 3 or 4 ulcer acquired after admission,No,FTR AE,,18300.0,18300.0
53,KAISER FOUNDATION HOSPITAL - OAKLAND/RICHMOND,GENERAL ACUTE CARE HOSPITAL,East Bay,2009-04-21,20005962,Closed,AP - Immediate Jeopardy (HSC 1280.3),AE12 - Medication error,No,AP IJ,,50000.0,50000.0
54,KINDRED HOSPITAL - SAN FRANCISCO BAY AREA,GENERAL ACUTE CARE HOSPITAL,East Bay,2009-04-15,20006084,Closed,Failure to Report Adverse Events to CDPH (HSC 1280.4),AE17 - Stage 3 or 4 ulcer acquired after admission,No,FTR AE,,1200.0,1200.0
55,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS,GENERAL ACUTE CARE HOSPITAL,East Bay,2009-04-20,20006108,Closed,Failure to Report Adverse Events to CDPH (HSC 1280.4),AE04 - Retention of a foreign object in a patient,No,FTR AE,,36100.0,36100.0
56,SAN LEANDRO HOSPITAL,GENERAL ACUTE CARE HOSPITAL,East Bay,2009-05-15,20006185,Closed,Failure to Report Adverse Events to CDPH (HSC 1280.4),AE28 - Adverse event or series of adverse events,No,FTR AE,,700.0,700.0
57,SAN LEANDRO HOSPITAL,GENERAL ACUTE CARE HOSPITAL,East Bay,2009-06-08,20006187,Closed,AP - Immediate Jeopardy (HSC 1280.3),AE28 - Adverse event or series of adverse events,No,AP IJ,,25000.0,25000.0
58,ALTA BATES SUMMIT MEDICAL CENTER,GENERAL ACUTE CARE HOSPITAL,East Bay,2009-06-05,20006196,Closed,AP - Immediate Jeopardy (HSC 1280.3),AE04 - Retention of a foreign object in a patient,No,AP IJ,,25000.0,25000.0
59,HIGHLAND HOSPITAL,GENERAL ACUTE CARE HOSPITAL,East Bay,2009-06-10,20006258,Closed,Failure to Report Adverse Events to CDPH (HSC 1280.4),AE17 - Stage 3 or 4 ulcer acquired after admission,No,FTR AE,,1400.0,1400.0
60,HIGHLAND HOSPITAL,GENERAL ACUTE CARE HOSPITAL,East Bay,2009-06-10,20006260,Closed,Failure to Report Adverse Events to CDPH (HSC 1280.4),AE17 - Stage 3 or 4 ulcer acquired after admission,No,FTR AE,,300.0,300.0
61,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS,GENERAL ACUTE CARE HOSPITAL,East Bay,2009-06-09,20006261,Closed,Failure to Report Adverse Events to CDPH (HSC 1280.4),AE17 - Stage 3 or 4 ulcer acquired after admission,No,FTR AE,,300.0,300.0
62,JOHN MUIR MEDICAL CENTER-CONCORD CAMPUS,GENERAL ACUTE CARE HOSPITAL,East Bay,2009-07-03,20006347,Closed,Failure to Report Adverse Events to CDPH (HSC 1280.4),AE17 - Stage 3 or 4 ulcer acquired after admission,No,FTR AE,,700.0,700.0
63,SUTTER DELTA MEDICAL CENTER,GENERAL ACUTE CARE HOSPITAL,East Bay,2009-07-09,20006367,Closed,Failure to Report Adverse Events to CDPH (HSC 1280.4),AE17 - Stage 3 or 4 ulcer acquired after admission,No,FTR AE,,3400.0,3400.0
64,HIGHLAND HOSPITAL,GENERAL ACUTE CARE HOSPITAL,East Bay,2009-09-02,20006475,Closed,AP - Immediate Jeopardy (HSC 1280.3),AE11 - Suicide/attempted suicide,No,AP IJ,,50000.0,50000.0
65,SUTTER DELTA MEDICAL CENTER,GENERAL ACUTE CARE HOSPITAL,East Bay,2009-11-30,20006724,Closed,Failure to Report Adverse Events to CDPH (HSC 1280.4),AE17 - Stage 3 or 4 ulcer acquired after admission,No,FTR AE,,1800.0,1800.0
66,ALTA BATES SUMMIT MEDICAL CENTER-ALTA BATES CAMPUS,GENERAL ACUTE CARE HOSPITAL,East Bay,2009-12-03,20006746,Closed,Failure to Report Adverse Events to CDPH (HSC 1280.4),AE04 - Retention of a foreign object in a patient,No,FTR AE,,700.0,700.0
67,CONTRA COSTA REGIONAL MEDICAL CENTER,GENERAL ACUTE CARE HOSPITAL,East Bay,2009-12-07,20006750,Closed,Failure to Report Breach to CDPH (HSC 1280.15(b)(1)),Breach by h/c worker within facility/hc system,No,FTR BR,,900.0,900.0
68,KAISER FOUNDATION HOSPITAL - WALNUT CREEK,GENERAL ACUTE CARE HOSPITAL,East Bay,2009-12-17,20006798,Closed,Failure to Report Breach to CDPH (HSC 1280.15(b)(1)),Breach by h/c worker within facility/hc system,No,FTR BR,,4900.0,4900.0
69,SUTTER DELTA MEDICAL CENTER,GENERAL ACUTE CARE HOSPITAL,East Bay,2009-12-17,20006800,Closed,Failure to Report Breach to CDPH (HSC 1280.15(b)(1)),Breach by h/c worker within facility/hc system,No,FTR BR,,3500.0,3500.0
70,HIGHLAND HOSPITAL,GENERAL ACUTE CARE HOSPITAL,East Bay,2010-01-05,20006844,Closed,Failure to Report Adverse Events to CDPH (HSC 1280.4),AE27 - Death/injury from a physical assault,No,FTR AE,,700.0,700.0
71,HIGHLAND HOSPITAL,GENERAL ACUTE CARE HOSPITAL,East Bay,2010-01-13,20006883,Closed,AP - Immediate Jeopardy (HSC 1280.3),AE12 - Medication error,No,AP IJ,,75000.0,75000.0
72,KINDRED AT HOME,HOME HEALTH AGENCY,East Bay,2010-01-11,20006903,Closed,Failure to Report Breach to CDPH (HSC 1280.15(b)(1)),Breach of IT system theft/loss of edevice/med rec,No,FTR BR,,2400.0,2400.0
73,JOHN MUIR MEDICAL CENTER-WALNUT CREEK CAMPUS,GENERAL ACUTE CARE HOSPITAL,East Bay,2010-02-16,20006917,Closed,Failure to Report Breach to CDPH (HSC 1280.15(b)(1)),Breach by h/c worker within facility/hc system,No,FTR BR,,500.0,500.0
74,JOHN MUIR MEDICAL CENTER-WALNUT CREEK CAMPUS,GENERAL ACUTE CARE HOSPITAL,East Bay,2010-02-16,20006959,Closed,Failure to Report Breach to CDPH (HSC 1280.15(b)(1)),Deliberate breach by person other than a h/c worker,No,FTR BR,,500.0,500.0
75,WASHINGTON HOSPITAL,GENERAL ACUTE CARE HOSPITAL,East Bay,2010-02-09,20006966,Closed,Failure to Report Adverse Events to CDPH (HSC 1280.4),AE17 - Stage 3 or 4 ulcer acquired after admission,No,FTR AE,,2700.0,2700.0
76,WASHINGTON HOSPITAL,GENERAL ACUTE CARE HOSPITAL,East Bay,2010-02-18,20006999,Closed,Failure to Report Adverse Events to CDPH (HSC 1280.4),AE24 - Care by impersonating licensed provider,No,FTR AE,,700.0,700.0
77,KINDRED HOSPITAL - SAN FRANCISCO BAY AREA,GENERAL ACUTE CARE HOSPITAL,East Bay,2010-02-18,20007000,Closed,Failure to Report Adverse Events to CDPH (HSC 1280.4),AE17 - Stage 3 or 4 ulcer acquired after admission,No,FTR AE,,100.0,100.0
78,SUTTER DELTA MEDICAL CENTER,GENERAL ACUTE CARE HOSPITAL,East Bay,2010-03-16,20007046,Closed,Failure to Report Adverse Events to CDPH (HSC 1280.4),AE17 - Stage 3 or 4 ulcer acquired after admission,No,FTR AE,,600.0,600.0
79,JOHN MUIR BEHAVIORAL HEALTH CENTER,ACUTE PSYCHIATRIC HOSPITAL,East Bay,2010-04-20,20007102,Closed,AP - Immediate Jeopardy (HSC 1280.3),AE11 - Suicide/attempted suicide,No,AP IJ,AP IJ,50000.0,30000.0
80,JOHN MUIR MEDICAL CENTER-WALNUT CREEK CAMPUS,GENERAL ACUTE CARE HOSPITAL,East Bay,2010-04-22,20007103,Closed,AP - Immediate Jeopardy (HSC 1280.3),AE11 - Suicide/attempted suicide,No,AP IJ,AP IJ,50000.0,30000.0
81,HIGHLAND HOSPITAL,GENERAL ACUTE CARE HOSPITAL,East Bay,2010-04-08,20007108,Closed,Failure to Report Adverse Events to CDPH (HSC 1280.4),AE17 - Stage 3 or 4 ulcer acquired after admission,No,FTR AE,,1100.0,1100.0
82,HIGHLAND HOSPITAL,GENERAL ACUTE CARE HOSPITAL,East Bay,2010-04-27,20007160,Closed,Failure to Report Adverse Events to CDPH (HSC 1280.4),AE17 - Stage 3 or 4 ulcer acquired after admission,No,FTR AE,,600.0,600.0
83,JOHN MUIR MEDICAL CENTER-CONCORD CAMPUS,GENERAL ACUTE CARE HOSPITAL,East Bay,2010-05-25,20007228,Closed,Failure to Report Breach to CDPH (HSC 1280.15(b)(1)),Breach by h/c worker within facility/hc system,No,FTR BR,,2300.0,2300.0
84,CONTRA COSTA REGIONAL MEDICAL CENTER,GENERAL ACUTE CARE HOSPITAL,East Bay,2010-06-10,20007271,Closed,Failure to Report Breach to Resident (HSC 1280.15(b)(2)),Breach to person/entity outside facility/hc system,No,FTR RES,,5300.0,5300.0
85,CONTRA COSTA REGIONAL MEDICAL CENTER,GENERAL ACUTE CARE HOSPITAL,East Bay,2010-06-10,20007272,Closed,Failure to Report Breach to CDPH (HSC 1280.15(b)(1)),Other,No,FTR BR,,3900.0,3900.0
86,CONTRA COSTA REGIONAL MEDICAL CENTER,GENERAL ACUTE CARE HOSPITAL,East Bay,2010-06-10,20007273,Closed,Failure to Report Breach to Resident (HSC 1280.15(b)(2)),Breach to person/entity outside facility/hc system,No,FTR RES,,4100.0,4100.0
87,JOHN MUIR MEDICAL CENTER-CONCORD CAMPUS,GENERAL ACUTE CARE HOSPITAL,East Bay,2010-06-14,20007296,Closed,Failure to Report Breach to Resident (HSC 1280.15(b)(2)),Breach to person/entity outside facility/hc system,No,FTR RES,,1000.0,1000.0
88,SANTA ROSA MEMORIAL HOSPITAL,GENERAL ACUTE CARE HOSPITAL,Santa Rosa,2010-07-01,20007332,Closed,Failure to Report Adverse Events to CDPH (HSC 1280.4),AE17 - Stage 3 or 4 ulcer acquired after admission,No,FTR AE,,200.0,200.0
89,SANTA ROSA MEMORIAL HOSPITAL,GENERAL ACUTE CARE HOSPITAL,Santa Rosa,2010-07-01,20007341,Closed,Failure to Report Adverse Events to CDPH (HSC 1280.4),AE17 - Stage 3 or 4 ulcer acquired after admission,No,FTR AE,,700.0,700.0
90,EDEN MEDICAL CENTER,GENERAL ACUTE CARE HOSPITAL,East Bay,2010-07-21,20007391,Closed,Failure to Report Breach to CDPH (HSC 1280.15(b)(1)),Breach to person/entity outside facility/hc system,No,FTR BR,,9400.0,9400.0
91,EDEN MEDICAL CENTER,GENERAL ACUTE CARE HOSPITAL,East Bay,2010-07-21,20007392,Closed,Failure to Report Breach to CDPH (HSC 1280.15(b)(1)),Breach to person/entity outside facility/hc system,No,FTR BR,,2700.0,2700.0
92,EDEN MEDICAL CENTER,GENERAL ACUTE CARE HOSPITAL,East Bay,2010-07-21,20007393,Closed,Failure to Report Breach to CDPH (HSC 1280.15(b)(1)),Breach to person/entity outside facility/hc system,No,FTR BR,,900.0,900.0
93,CONTRA COSTA REGIONAL MEDICAL CENTER,GENERAL ACUTE CARE HOSPITAL,East Bay,2010-07-27,20007406,Closed,AP - Immediate Jeopardy (HSC 1280.3),AE12 - Medication error,No,AP IJ,,50000.0,50000.0
94,SANTA ROSA MEMORIAL HOSPITAL,GENERAL ACUTE CARE HOSPITAL,Santa Rosa,2010-07-22,20007413,Closed,Failure to Report Adverse Events to CDPH (HSC 1280.4),AE17 - Stage 3 or 4 ulcer acquired after admission,No,FTR AE,,1100.0,1100.0
95,JOHN MUIR MEDICAL CENTER-WALNUT CREEK CAMPUS,GENERAL ACUTE CARE HOSPITAL,East Bay,2010-07-30,20007426,Closed,AP - Breach (HSC 1280.15),Breach to person/entity outside facility/hc system,No,AP BR,,42500.0,42500.0
96,DOCTORS MEDICAL CENTER - SAN PABLO,GENERAL ACUTE CARE HOSPITAL,East Bay,2010-09-08,20007489,Closed,Failure to Report Adverse Events to CDPH (HSC 1280.4),AE17 - Stage 3 or 4 ulcer acquired after admission,No,FTR AE,,800.0,800.0
97,DOCTORS MEDICAL CENTER - SAN PABLO,GENERAL ACUTE CARE HOSPITAL,East Bay,2010-09-08,20007491,Closed,Failure to Report Adverse Events to CDPH (HSC 1280.4),AE17 - Stage 3 or 4 ulcer acquired after admission,No,FTR AE,,1000.0,1000.0
98,KAISER FOUNDATION HOSPITAL - FREMONT,GENERAL ACUTE CARE HOSPITAL,East Bay,2010-08-31,20007530,Closed,Failure to Report Breach to CDPH (HSC 1280.15(b)(1)),Breach by h/c worker within facility/hc system,No,FTR BR,,1100.0,1100.0
99,CONTRA COSTA REGIONAL MEDICAL CENTER,GENERAL ACUTE CARE HOSPITAL,East Bay,2010-09-09,20007537,Closed,Failure to Report Breach to CDPH (HSC 1280.15(b)(1)),Breach to person/entity outside facility/hc system,No,FTR BR,,700.0,700.0
