word,frequency
0322,2
0322_hour,2
0323,1
0325,1
0330,8
0330_hour,6
0340,5
0342,1
0350,2
0350_a,2
0355,1
0371,1
03_a,26
03_p,36
03_pm,7
03pm,1
04,199
0400,11
040009096,1
040011140,1
0400_4,3
0400_4_a,2
0400_hour,3
0415,2
0415_hour,2
0417,1
042,1
0420,4
0420_hour,2
0425,4
0425_hour,4
0427,2
0427_hour,2
0430,8
0430_hour,6
0435,3
0435_hour,2
0445,1
045,1
0451,1
0455,1
0457,1
048,1
04_a,18
04_diagnosis,2
04_p,26
04_pm,6
05,1095
050,1
0500,9
0500_hour,7
0500_hour_show,3
051,1
0515,2
0515_hour,2
0525,1
0530,5
0530_hour,2
0540,3
0545,1
0551,1
0555,1
055689,1
0558,1
056,2
0584dda8,1
05_a,210
05_cream,4
05_cream_apply,2
05_diagnosis,7
05_diagnosis_include,2
05_document,54
05_document_indicate,54
05_indicate,2
05_interview,2
05_p,350
05_pm,69
05_policy,4
05_state,2
05_twice,3
05a,1
05p,1
06,333
060,1
0600,29
0600_hour,18
0600_hour_dcs,3
0600_hour_show,2
0600am,1
0601,1
0605,1
0610,1
0615,4
0615_hour,2
062,1
0620,3
0620_hour,2
0630,13
0630_hour,7
0637,1
064,7
0645,2
064_1418,7
065,4
0650,2
0650_hour,2
0655,1
0658,1
069,3
06_10,3
06_a,20
06_indicate,2
06_know,2
06_list,2
06_mile,2
06_p,36
06_pm,8
06_pm_rn,3
06pm,1
07,434
070,1
0700,30
0700_hour,16
0700_hour_dcs,2
0705,1
0710,2
0710_hour,2
0715,4
0715_hour,4
072,1
0720,9
0720_hour,6
0722,1
0724,1
0725,2
0729,4
0729_hour,4
0730,15
0730_hour,12
0732,1
0734,2
0734_hour,2
0735,2
0740,11
0740_hour,8
0743,1
0745,4
0745_hour,4
0750,7
0750_hour,6
0751,1
0753,1
0755,10
0755_hour,6
0755_hour_lvn,2
076,3
0786,1
07_a,28
07_abuse,3
07_diagnosis,2
07_indicate,4
07_p,43
07_pm,8
07_review,3
07_total,2
08,586
0800,21
0800_hour,14
0800_hour_dcs,2
0805,3
0805_hour,3
0807,1
0809,1
0810,5
0810_hour,4
0810_hour_interview,2
0812,1
0815,9
0815_hour,5
0820,3
0820_hour,1
0823,1
0825,5
0825_hour,4
0825_hour_interview,2
0826,1
083,2
0830,19
0830_hour,14
0831,1
0832,3
0832_hour,2
0832_hour_interview,2
0835,3
0835_hour,3
0840,6
0840_hour,5
0840_hour_show,2
0843,1
0845,10
0845_hour,10
0850,2
0850_hour,2
0850_hour_dcs,2
0851,2
0853,1
0854,1
0855,2
0855_hour,2
0863,1
08_12,6
08_2,4
08_a,48
08_defined,7
08_diagnosis,6
08_diagnosis_include,2
08_indicate,4
08_note,3
08_p,34
08_pm,9
08_pm_lvn,2
08_reveal,19
08_review,5
08_review_admission,2
08_state,2
08_subsequently,3
09,1787
090,1
0900,23
0900_9,3
0900_9_a,3
0900_hour,12
0900_hour_interview,4
0905,4
0905_hour,4
0908,2
0908_hour,2
0910,9
0910_hour,6
0910_hour_interview,2
0911,1
0912,1
0915,12
0915_hour,8
0915_hour_interview,3
0916,1
092,20
0920,10
0920_hour,8
0921,1
0925,1
0926,1
0930,11
0930_hour,11
0932,1
0935,2
0935_hour,2
0937,1
094,6
0940,7
0940_hour,6
0940_hour_interview,2
0941,1
0942,3
0942_hour,1
0945,11
0945_hour,10
0945_hour_lvn,2
0950,4
0950_hour,4
0953,1
0955,2
0955_hour,2
0957,1
098,1
09_09,4
09_1,12
09_10,4
09_11,8
09_12,4
09_2,6
09_3,10
09_4,2
09_4_p,2
09_5,5
09_7,11
09_85,4
09_9,9
09_a,30
09_admission,2
09_certify,4
09_cna,3
09_contain,3
09_contain_form,1
09_diagnosis,12
09_diagnosis_closed,2
09_diagnosis_include,2
09_discuss,2
09_document,19
09_documentation,2
09_follow,2
09_form,2
09_form_document,2
09_identify,2
09_identify_patient,2
09_include,2
09_indicate,22
09_indicate_patient,2
09_investigate,6
09_man,3
09_p,36
09_physician,2
09_pm,2
09_pt,1
09_readmitt,2
09_reference,2
09_result,3
09_reveal,1
09_sign,2
09_ssd,2
09_staff,2
09_staff_member,2
09_state,2
0_,9
0_10,33
0_10_0,5
0_10_scale,2
0_10_type,2
0_10_zero,1
0_11,1
0_15,1
0_16,3
0_20,2
0_209,2
0_3,9
0_47,2
0_7,7
0_assessment,34
0_assessment_tool,1
0_centimeter,4
0_cm,41
0_cm_width,3
0_degree,6
0_degree_rectally,1
0_dinner,2
0_equal,2
0_equal_pain,2
0_fiber,1
0_g,3
0_g_dl,2
0_gram,2
0_low,2
0_mcg,3
0_mean,2
0_mean_pain,2
0_ng,2
0_ng_ml,2
0_nylon,4
0_pulse,4
0_x,2
0_zero,4
0_zero_pain,2
0n,2
0paque,1
0ø,2
0øf,1
10,18719
100,711
1000,69
1000_2000,2
1000_cc,1
1000_hour,23
1000_hour_show,2
1000_mg,8
1000_milliliter,9
1000_milliliter_ml,4
1000_ml,3
1000cc,2
1002,1
1003,2
1005,6
1005_hour,3
1005_hour_lvn,2
1006,2
1008,1
10092632,1
100_000,5
100_000_colony,2
100_102,5
100_150,3
100_beat,21
100_beat_minute,5
100_bpm,7
100_cc,8
100_degree,17
100_degree_f,1
100_exceed_thousand,2
100_generally,4
100_generally_consider,2
100_heart_rate,3
100_mcg,3
100_meal,12
100_mg,57
100_mg_5,2
100_mg_dl,2
100_mg_milligram,2
100_mg_ms,2
100_milligram,17
100_milligram_mg,5
100_milliliter,6
100_milliliter_ml,2
100_ml,8
100_ml_water,1
100_percent,28
100_pound,9
100_ppm,4
100_purple,2
100_respiration,4
100_respiratory_rate,1
100_slough,6
100_slough_dead,2
100_square,4
100_square_foot,2
100_steal,2
100_u,4
100_u_ml,2
100_unit,23
100_unit_insulin,1
100_yellow_slough,3
100ml,1
100th,1
100øf,1
101,74
1010,2
1014,1
10140,1
1015,7
1015_hour,4
1016,2
1017,3
1017_cc,2
1019,1
101_150,2
101_degree,1
101_f,2
101_lb,2
101_life,1
101f,1
102,47
1020,10
1020_hour,4
1020_ml,4
1022,1
1023,1
1024,2
1025,4
1025_hour,3
1026,1
1027,1
1028,2
102_degree,5
102_degree_f,2
102_degree_fahrenheit,2
102_lbs,2
102ø,5
103,22
1030,11
1030_hour,8
1031,1
1032,1
1033,2
1035,3
1035_hour,2
1037,1
1038,1
103_lb,2
103_lbs,1
104,35
1040,9
1040_hour,8
1040_hour_qidp,2
1041,1
1042,1
1045,7
1045_hour,6
1047,1
1048,1
104_106,7
104_degree,2
104_lb,1
105,51
1050,7
1050_cc,2
1050_hour,5
1050_hour_lvn,2
1052,3
1054,1
1055,2
1055_hour,2
1058,2
1058_hour,2
105_120,1
105_126,2
105_beat,2
105_bpm,1
105_degree,2
105_issue,2
105_pound,2
106,40
1060,1
1061,1
106_beat,3
106_beat_minute,3
106_june,2
106_june_30,2
107,17
1070,1
107øf,1
108,21
1080,3
1080_cc,2
108112,1
108118,2
1083,1
108_beat,2
108_breath,2
108_breath_rate,2
108_lb,2
109,20
1098,1
109_beat,3
109_beat_minute,2
109_reference,1
10_,5
10_0,19
10_0_,2
10_0_mean,2
10_0_pain,4
10_1,8
10_10,8
10_10_a,2
10_10_bad,19
10_10_excruciating,2
10_10_zero,2
10_11,5
10_12,8
10_15_l,1
10_15_liter,2
10_15_minute,12
10_15_rodent,3
10_180,3
10_180_day,3
10_2,11
10_2007_diagnosis,1
10_2013_1,19
10_2015_3,2
10_2017_11,2
10_2017_12,3
10_3,10
10_325,14
10_325_mg,2
10_4,22
10_5,4
10_6,21
10_7,6
10_8,37
10_9,10
10_a,374
10_administrative,3
10_administrative_staff,3
10_agitate_scream,2
10_approximately,2
10_approximately_9,2
10_b,8
10_b_11,3
10_bad,69
10_bad_pain,12
10_bad_possible,2
10_base_numeric,2
10_can,13
10_cans1,2
10_cans1_10,2
10_cash_ebt,3
10_cm_l,2
10_complete,3
10_complete_gach,1
10_couple_time,2
10_day,2
10_detection,2
10_develop,4
10_diagnosis,10
10_diagnosis_include,6
10_dilution,2
10_dos_7,2
10_excruciate,2
10_excruciate_pain,2
10_excruciating,2
10_experience_decline,2
10_fall,5
10_feel_dizzy,2
10_foot_away,3
10_free_mental,24
10_g,4
10_grain,3
10_immobilizer_brace,2
10_include,19
10_include_right,5
10_indicate,13
10_interview,2
10_investigate,4
10_lal,7
10_lal_mattress,7
10_lb_weight,2
10_leave_knee,1
10_lie_directly,3
10_list,2
10_ln,1
10_medication,2
10_mg_bedtime,2
10_mg_milligram,2
10_mg_morphine,4
10_mg_mouth,10
10_mg_suppository,1
10_milligram_mg,10
10_milliliter_ml,1
10_minute_later,10
10_mixed,2
10_ml_tea,2
10_moderate,3
10_moderate_pain,2
10_narrate,2
10_narrate_roommate,2
10_p,572
10_pain,48
10_pain_scale,23
10_passive_range,2
10_patient,15
10_patient_right,2
10_pm,103
10_pm_ask,3
10_pm_read,2
10_pound_9,2
10_randomly_select,2
10_ratio,2
10_readmitt,2
10_receive,2
10_reference_range,2
10_repetition,2
10_represent,39
10_reside,6
10_reveal,10
10_scale,2
10_scale_0,3
10_sec,2
10_section,4
10_see_dermatologist,3
10_see_examine,2
10_seven,4
10_severe,8
10_severe_pain,25
10_show,1
10_size_can,5
10_slough_dead,2
10_staple_apply,2
10_state,2
10_sustain,2
10_sustain_concussion,2
10_tablet_percocet,2
10_time,11
10_ug_ml,2
10_ul,2
10_unit_insulin,7
10_unit_lantus,2
10_unit_novolog,5
10_unit_regular,2
10_unit_sq,1
10_weigh_435,2
10_year,3
10_zero,12
10a,2
10days,1
10l,4
10mg,2
10ml,2
10p,4
10pm,1
10th,15
10th_11th,3
10th_11th_rib,1
10th_13th,2
10th_cart,2
10u,1
10x14,1
10øf,2
11,16951
110,72
1100,27
1100_cc,2
1100_hour,16
1100_hour_interview,4
1105,3
1105_hour,2
110_112,5
110_114,2
110_degree,5
110_degree_f,2
110_h,2
110_h_high,2
110_lb,5
110_mg,3
110_millimeter,2
110øc,1
110øf,5
110øf_43øc,2
111,25
1110,2
1110_hour,2
111180,1
1115,8
1115_hour,5
1116,3
1116_hour,1
1119,1
111_beat,1
112,32
1120,9
1120_hour,4
1120_ml,2
1123,1
1125,4
1125_hour,2
1128,1
112h,1
113,8
1130,16
1130_hour,14
1130_hour_rn,2
1131,1
1132,2
1135,3
11350,2
1135_hour,3
1137207,1
114,20
1140,10
1140_hour,8
1142,1
1145,7
1145_california,2
1145_hour,5
1146,2
1146_hour,2
114_beat,1
115,33
1150,3
1150_hour,2
1150b,5
1155,1
1157,1
115_122,2
115_degree,2
115_pound,1
115øf,1
116,18
1160,1
1162,1
1164,1
116_beat,2
116_beat_minute,2
116_pound,2
117,12
1170,2
11720,1
117262,1
117_degree,2
117_degree_fahrenheit,2
118,30
1181,1
118128,1
1182,1
1184,1
118_degree,2
118_lb,1
118_pound,4
118_respiration,1
119,14
1195,1
1198,4
11982,1
1198_mg,3
1198_mg_dl,3
119_lb,1
11_0400,2
11_0400_hour,2
11_0700,3
11_0700_hour,2
11_0815,1
11_0915,2
11_0915_hour,2
11_1,44
11_10,36
11_1005,2
11_1005_hour,2
11_10_a,2
11_11,19
11_11_a,3
11_12,42
11_1210,3
11_1210_hour,3
11_13_rs,2
11_1450,2
11_1450_hour,2
11_1600,2
11_1600_hour,2
11_1999,3
11_1999_receive,2
11_2,21
11_20,3
11_2009_diagnosis,2
11_2011,4
11_2013,39
11_2015,4
11_2100,2
11_2123,2
11_2389,3
11_24_sampled,2
11_2813,7
11_3,24
11_4,7
11_4_pm,3
11_5,23
11_6,21
11_64,2
11_7,14
11_8,40
11_9,58
11_9_a,2
11_9_pm,2
11_a,40
11_aa,4
11_acs,2
11_active,2
11_administer,6
11_administrative_admin,2
11_ait,1
11_approximately,15
11_asphyxiation,2
11_asphyxiation_result,2
11_assistant,4
11_average,1
11_blood,4
11_client,4
11_commence,5
11_daily,2
11_damage_ground,2
11_day,2
11_days,2
11_degenerative,2
11_degenerative_disease,2
11_delay,2
11_describe,3
11_develop,8
11_diagnose,2
11_diagnosis,27
11_diagnosis_dementia,2
11_diagnosis_include,15
11_dinner,4
11_document,5
11_dr,2
11_dr_p,2
11_easily_annoyed,2
11_effective,2
11_effective_intervention,2
11_failure,2
11_failure_potential,2
11_failure_result,2
11_fire,2
11_food,1
11_generalize_body,2
11_idn,2
11_inch_size,10
11_indicate,53
11_investigate,6
11_ipp,5
11_leave_unsupervised,3
11_licensee,2
11_licensee_ask,2
11_lunch,3
11_month,2
11_new,2
11_ng_ml,2
11_night,2
11_night_shift,2
11_nod_yes,3
11_note,2
11_notification,4
11_notification_change,7
11_notify,3
11_nursing,6
11_observation,3
11_observe_reddened,2
11_opportunity_average,2
11_order,2
11_p,65
11_patient,6
11_physician,18
11_physician_order,27
11_pm,2
11_pm_7,2
11_pressure_ulcer,4
11_profound,2
11_random,4
11_read,6
11_recover_roof,2
11_rehabilitation,2
11_return,1
11_reveal,9
11_review,5
11_score_10,2
11_screen_mrsa,2
11_seven,8
11_show,34
11_show_patient,1
11_sign,5
11_sign_physician,3
11_sitting_position,2
11_specify,2
11_sustain,3
11_tell,6
11_test_positive,5
11_time,3
11_title,5
11_treat_consideration,6
11_twice,4
11_wound,2
11_wound_care,2
11_x,2
11_x_ray,2
11a,1
11at,1
11indicated,1
11not,1
11p,10
11pm,4
11th,7
11the,1
11to,1
11wa,1
11was,1
11x14,1
12,18604
120,284
1200,53
1200_calorie,2
1200_calorie_day,2
1200_cc,23
1200_cc_daily,2
1200_cc_rd,2
1200_cubic,2
1200_hour,5
1200_hour_interview,2
1200_mg,3
1200_mg_po,2
1200_ml,2
120130,1
1202,3
1202_hour,2
12033,1
1205,3
1205_hour,3
1209,1
120_139,1
120_beat,4
120_cc,3
120_degree,25
120_degree_f,4
120_degree_fahrenheit,8
120_mg,17
120_mg_dl,2
120_mg_po,2
120_milligram,3
120_milliliter,2
120_milliliter_ml,2
120_millimeter,2
120_ml,9
120_mm,5
120_mm_,2
120_øf,1
120f,2
120pound,1
120s,2
120øf,1
121,24
1210,10
1210_hour,6
1212,1
1214,5
1214_hour,2
1215,1
121_lb,2
121_pound,1
122,29
1220,4
1220_hour,2
1223,1
1224,2
1224_hour,2
1225,1
1229,1
122_beat,1
122_lb,1
122_lbs,2
122_pound,1
123,20
1230,8
1230_hour,6
1232,4
1232_hour,1
1235,3
12374,1
12375,4
12375_serve,3
1239,1
124,21
1242,1
1243,1
1245,4
1245_hour,2
1246,1
1247,1
124_131,2
124_131_measure,2
125,56
1250,31
1250_health,5
1250_hour,3
1251,1
1252,1
1253,1
1254,1
1255,2
1255_hour,2
125_degree,4
125_degree_f,1
125_lb,3
125_mcg,7
125_mg,9
125_microgram,1
125_milligram,1
125_milliliter,2
125micrograms,2
125ø,2
125ø_assistant,2
126,30
1260,2
1262,1
1263,1
1265,41
1265_et,2
1265_et_seq,2
1267,1
126_beat,2
126_degree,3
126_degree_f,2
126_lancet,2
126_lb,3
126d,1
127,14
1270717,1
1271,1
1274,1
1275,2
1275_health,2
1276,4
127_lb,2
127_pound,1
128,23
1280,2
1280_ml,2
1289,7
128a,1
129,18
1290,14
1290_shall,12
1290_violation,2
1294,3
129875,1
12_0630,2
12_0630_hour,2
12_1,29
12_10,43
12_10_a,1
12_11,32
12_1115,2
12_1115_hour,2
12_11_a,2
12_12,31
12_12_noon,2
12_13_15,1
12_18_breath,6
12_19_2012,1
12_2,65
12_2011,2
12_2011_1,2
12_2016_11,2
12_2016_4,1
12_20_breath,9
12_2200,2
12_2200_hour,2
12_22_2014,1
12_3,32
12_4,19
12_4_pm,2
12_5,14
12_6,6
12_7,29
12_70_year,2
12_8,16
12_9,54
12_9_a,2
12_a,33
12_able_pour,2
12_accord,4
12_acute,2
12_acute_care,2
12_adequate_monitoring,2
12_admin,2
12_administer,4
12_administrator,18
12_approximately,15
12_approximately_5,2
12_arrive,2
12_b,45
12_b_facility,7
12_b_notice,2
12_begin,3
12_c,52
12_california,4
12_check,4
12_choke,4
12_client,11
12_complainant,2
12_copy,8
12_deliver_chest,2
12_develop,4
12_diagnose,2
12_diagnosis,17
12_diagnosis_include,14
12_disclose,2
12_document,4
12_dsd,2
12_experience_unnecessary,2
12_express_need,2
12_facility,21
12_fire_resistive,2
12_handwritten,3
12_handwritten_behavior,2
12_have_loose,8
12_have_unrelieved,2
12_hours,4
12_identify,15
12_indicate,34
12_inform,2
12_inform_medication,2
12_instruct,2
12_instruct_staff,2
12_large_watery,4
12_ln,2
12_md,18
12_mg,2
12_mid,2
12_midday,8
12_midnight,11
12_mn,2
12_neurologist,2
12_night,2
12_noc,2
12_noc_shift,2
12_noon,65
12_noon_feeding,2
12_o,10
12_observe_drowsy,2
12_p,50
12_patient,2
12_physician_order,2
12_pm,16
12_poop,3
12_poop_watery,2
12_read,14
12_readmitt,2
12_receive_kcl,3
12_remove_tab,2
12_represent,13
12_reveal,34
12_review,6
12_rp,2
12_say,2
12_separate_occasion,2
12_show,54
12_sit_edge,2
12_social,18
12_suffer_severe,2
12_suppose_tab,2
12_tab_alarm,8
12_test_negative,4
12_test_positive,5
12_time,1
12_unit_insulin,4
12_unlicensed,1
12_unprotected,2
12at,1
12th,7
13,8887
130,73
1300,16
1300_1550,2
1300_1550_calorie,2
1300_hour,8
1300ng,1
1303,1
1305,1
1307,1
130_beat,2
130_degree,10
130_degree_f,4
130_f,2
130_lb,2
130_mg,7
130_mg_dl,1
130_tablet,2
130_tablet_8,2
130_øf,2
131,27
1310,6
1310_hour,4
1311,1
1315,6
1315_hour,3
1316,2
131_lb,2
132,22
1320,15
1320_calorie,2
1320_calorie_day,2
1320_cc,4
1320_ml,2
1324,1
1325,3
132583,2
1325_hour,2
1326,1
1327,1
132_mg,2
132_pound,3
133,20
1330,12
1330_hour,6
1333,2
1335,1
1336,137
1337,3
1339,1
133_lb,2
134,18
1340,4
1340_hour,2
13413,1
134228,1
1343,1
1345,6
1345_hour,5
135,50
1350,4
1350_hour,4
1352,1
1353,2
1355,3
1355_hour,1
1357,1
1359,1
135_145,7
135_146,2
135_degree,6
135_degree_f,2
135_lb,3
135_mg,3
135cc,1
135øf,3
135øf_allow,2
136,31
136_145,6
136_pound,2
137,17
1370,1
137_145,1
138,15
1381,1
138_lb,2
138_pound,1
139,16
13_0720,2
13_0720_hour,2
13_1,38
13_10,33
13_11,17
13_1100,3
13_1100_hour,3
13_12,32
13_15,29
13_15_16,2
13_2,39
13_2009,14
13_2010,13
13_2010_reveal,3
13_2011,36
13_2011_9,3
13_2013,14
13_2015,36
13_2015_approximately,2
13_2015_morning,2
13_2016,15
13_25,2
13_3,28
13_4,37
13_4_pm,2
13_5,20
13_55,8
13_6,13
13_7,8
13_7_interview,2
13_8,2
13_9,12
13_a,19
13_afford_right,2
13_and,8
13_approximately,12
13_approximately_1,2
13_b,29
13_b_abuse,3
13_b_free,1
13_c,40
13_capsule_august,2
13_day_later,3
13_department,2
13_describe,4
13_develop_fever,2
13_diagnosis,16
13_diagnosis_include,4
13_document,6
13_eat_meal,2
13_fail_to,2
13_family,3
13_family_member,1
13_fosrenol,3
13_ger,24
13_hallway,4
13_hhm,2
13_housekeeper,2
13_indicate,35
13_ln,2
13_lunchtime,2
13_miss,2
13_movie,2
13_multiple,2
13_multiple_medical,2
13_note,5
13_p,42
13_patient,2
13_pend,4
13_pm,12
13_policy,3
13_policy_prevention,2
13_read,2
13_readmitt,4
13_readmitt_6,2
13_receive_ultram,3
13_responsible,29
13_responsible_party,2
13_reveal,8
13_review,2
13_risk_dehydration,3
13_rn,2
13_rs,2
13_rt,2
13_score_13,1
13_show,35
13_show_patient,1
13_sling,2
13_staff,2
13_sustain,4
13_tell,2
13_test,1
13_time,2
13_unit_novolog,2
13_violation,8
13_wound,2
13_wound_consultant,2
13_year_pretty,2
13included,1
13th,5
13the,2
13ug,1
14,10397
140,76
1400,18
1400_hour,10
1400_ml,3
1402,2
1402_hour,2
1403,2
1405,2
1405_hour,2
1408,2
1409,1
140_150,2
140_150_lb,2
140_degree,9
140_degree_f,3
140_degree_water,3
140_lb,6
140_mg,8
140_mg_dl,4
140_milligram,2
140_øf,3
140f,1
140øf,1
141,22
1410,3
1410_hour,3
1411,2
14112,1
14113,2
14114,1
14115,1
14118,2
14122,1
14123,1
14135,3
14136,2
14139,1
14142,1
14143,1
14146,1
14149,1
1415,5
14151,2
1415_hour,4
1417,14
1418,714
1418_b,9
1418_b_violation,2
1418_long,18
1418_skilled,19
1418_skilled_nursing,13
1419,2
141_lb,2
142,12
1420,8
1420_hour,5
1421,1
142120,1
1422,1
1424,70
1424_citation,1
1424_e,2
1424_e_provide,2
1425,4
1425_hour,3
1426,1
1429,50
1429_a,6
1429_c,1
1429_class,12
143,18
1430,15
1430_2,7
1430_hour,9
1432,1
1434,1
1435,3
1435_hour,3
1436,1
1439,1
143_lb,1
143_pound,1
144,17
1440,7
1440_hour,5
1441,1
1443,1
1445,7
1445_2,4
1445_hour,5
1446,2
144_gallon,2
144_lb,1
144_pound,2
145,51
1450,4
1450_hour,2
1455,1
1458,1
14589,1
145_chloride,1
145_degree,3
145_degree_f,2
145_lb,2
145_meq,6
145_meq_l,3
145_mg,1
146,22
146_lb,5
146_normal,1
146_pound,2
147,18
1470,1
147_lb,3
148,8
1480,2
149,23
149483,1
149_pound,2
14_,2
14_0755,2
14_0755_hour,2
14_1,44
14_10,78
14_11,48
14_12,79
14_13,2
14_130,2
14_130_lb,2
14_1330,2
14_1330_hour,2
14_17_18,1
14_2,31
14_2005_diagnosis,1
14_2011,58
14_2011_9,2
14_2011_oshpd,2
14_2012,62
14_2014,1
14_23,5
14_24_hour,2
14_3,79
14_4,53
14_5,18
14_5_p,5
14_6,14
14_7,36
14_8,42
14_9,46
14_9_a,4
14_a,37
14_admit,2
14_admit_6,2
14_anxiety,4
14_approximately,18
14_approximately_11,1
14_approximately_4,2
14_break,4
14_breath_minute,3
14_cause,2
14_change,4
14_client,2
14_cna,2
14_cognition_intact,2
14_contain,5
14_contain_documentation,2
14_contain_follow,1
14_day,3
14_day_re,2
14_day_reevaluate,6
14_days,2
14_dcs,2
14_dcs_c,2
14_dentist,2
14_dentist_indicate,2
14_deny,2
14_deny_have,2
14_diagnosis,36
14_diagnosis_include,17
14_dignity_privacy,2
14_dsp,2
14_dsp_6,2
14_eat_75,2
14_emphasize,2
14_failure,2
14_fall_risk,2
14_fm,2
14_french,3
14_gach,2
14_high_calorie,2
14_include,2
14_indicate,87
14_instruct,4
14_job,4
14_job_coach,4
14_license,2
14_licensed,2
14_licensed_nurse,2
14_ln,7
14_ln_2,2
14_ln_3,2
14_lot_pain,2
14_morning,2
14_nidcr,3
14_nidcr_indicate,3
14_night,2
14_night_shift,2
14_noisy,2
14_note,4
14_notification,9
14_notification_change,7
14_observe_sit,4
14_p,29
14_pelvic_fracture,2
14_physician_notify,2
14_place,4
14_pm,8
14_point,3
14_positive_scabie,2
14_pound_weight,3
14_progress,2
14_progress_note,2
14_provider,1
14_purplish_green,2
14_qmrp,3
14_quarterly,2
14_rd,6
14_rd_2,2
14_read,3
14_readmitt,2
14_readmitt_5,2
14_reorder,4
14_require_hospitalization,2
14_respond,1
14_reveal,13
14_revise,4
14_score_13,1
14_share,4
14_show,57
14_sign_cdr,2
14_ssd,3
14_start,2
14_sw,2
14_swallow_problem,2
14_threaten_kill,2
14_time,10
14_undergo_open,2
14_unit_insulin,3
14_unit_subcutaneously,2
14_unplanned_significant,2
14_untimed,3
14_weigh,7
14_writing_right,2
14at,1
14did,1
14fr,2
14identifiedproblemsbehaviorssuchasrefusinghelpfromstaffbutdidnotspecifyresident1,1
14ltercation,1
14round,1
14th,3
15,16196
150,97
1500,41
15001,1
1500_2300,2
1500_2300_hour,1
1500_3,1
1500_hour,22
1500_ml,3
1500cc,1
1501,4
1502,1
1503,2
15030265,1
1503_hour,2
1505,7
1505_hour,7
1507,1
1509,1
150_,10
150_180,2
150_beat,2
150_beat_minute,2
150_cc,3
150_degree,1
150_foot,4
150_mcg,2
150_mg,12
150_mg_tablet,2
150_milligram,2
150_ml,3
150_pound,3
150cc,1
151,24
1510,2
1511,1
1512,1
1515,14
1515_hour,10
1516,1
151_200,5
151_meq,2
152,12
1520,6
1520_hour,4
1523,1
1525,2
152902,1
153,21
1530,17
1530_hour,11
1533,1
1534,2
1534_hour,2
1535,1
1536,1
1537,1
153_lb,1
153_pound,1
154,14
1540,6
1540_hour,5
1545,12
1545_3,2
1545_hour,9
154_beat,3
154_beat_minute,2
155,11
1550,13
1550_hour,9
1555,5
1555_hour,3
1557,1
155_,4
155_degree,2
155_degree_fahrenheit,2
156,11
15600,7
15600_3,1
15610,28
15630,15
1569,1
156_lb,1
157,20
1570,2
157_lb,2
158,5
1580,3
1580_1896,1
1581,1
158181,1
1582,1
15830,1
1584,1
159,11
15_,8
15_03,4
15_05,4
15_0500,2
15_06,2
15_07,2
15_08,2
15_0851,2
15_0851_hour,2
15_09,6
15_0910,3
15_0910_hour,3
15_0915,2
15_1,102
15_10,36
15_100,4
15_1015,2
15_1015_hour,2
15_11,45
15_12,97
15_1214,3
15_1214_hour,2
15_1430,1
15_15,4
15_1500,1
15_1550,2
15_1550_hour,2
15_15_denote,2
15_1630,4
15_1630_hour,4
15_16_2016,2
15_1700,2
15_1700_5,2
15_1710,2
15_1710_hour,2
15_2,101
15_20,4
15_2001,2
15_2009_diagnosis,1
15_2011,60
15_2011_prescribe,2
15_2012_4,2
15_2016,56
15_2016_complete,1
15_20_breath,2
15_20_minute,6
15_2200,4
15_3,121
15_30,2
15_30_minute,5
15_3_p,29
15_4,94
15_5,19
15_6,21
15_7,87
15_8,54
15_9,133
15_9_a,7
